datetime,date,name,gain,less,p
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,0.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,0.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,1.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,1.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,2.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,2.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,3.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,3.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,4.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,4.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,5.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,5.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,6.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,6.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,7.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,7.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,8.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,8.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,9.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,9.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,10.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,10.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,11.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,11.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,12.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,12.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,13.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,13.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,14.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,14.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,15.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,15.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,16.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,16.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,17.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,17.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,18.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,18.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,19.0,0.9985
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,19.5,0.995
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,20.0,0.987
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,20.5,0.977
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,21.0,0.9545
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,21.5,0.9205
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,22.0,0.875
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,22.5,0.8255
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,23.0,0.7675
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,23.5,0.694
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,24.0,0.6135
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,24.5,0.5375
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,25.0,0.4595
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,25.5,0.388
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,26.0,0.309
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,26.5,0.248
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,27.0,0.1825
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,27.5,0.128
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,28.0,0.0885
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,28.5,0.0545
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,29.0,0.0285
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,29.5,0.0135
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,30.0,0.007
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,30.5,0.0025
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,31.0,0.0015
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,31.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,32.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,32.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,33.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,33.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,34.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,34.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,35.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,35.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,36.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,36.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,37.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,37.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,38.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,38.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,39.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,39.5,0.0
2022-01-21T00:10:23.361874,2022-01-30,Macron,24.77,40.0,0.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,0.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,0.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,1.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,1.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,2.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,2.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,3.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,3.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,4.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,4.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,5.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,5.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,6.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,6.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,7.0,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,7.5,1.0
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,16.01,8.0,1.0
