datetime,date,duel,g1,less1,p1
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,30.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,30.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,31.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,31.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,32.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,32.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,33.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,33.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,34.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,34.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,35.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,35.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,36.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,36.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,37.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,37.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,38.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,38.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,39.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,39.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,40.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,40.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,41.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,41.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,42.0,0.999
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,42.5,0.999
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,43.0,0.9985
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,43.5,0.996
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,44.0,0.9955
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,44.5,0.9935
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,45.0,0.9905
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,45.5,0.989
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,46.0,0.9865
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,46.5,0.9825
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,47.0,0.9755
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,47.5,0.969
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,48.0,0.9585
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,48.5,0.9415
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,49.0,0.931
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,49.5,0.9185
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,50.0,0.897
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,50.5,0.8735
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,51.0,0.8505
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,51.5,0.819
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,52.0,0.786
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,52.5,0.7625
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,53.0,0.7335
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,53.5,0.7095
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,54.0,0.6825
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,54.5,0.646
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,55.0,0.616
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,55.5,0.584
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,56.0,0.5525
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,56.5,0.5215
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,57.0,0.484
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,57.5,0.447
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,58.0,0.417
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,58.5,0.3815
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,59.0,0.351
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,59.5,0.3205
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,60.0,0.2885
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,60.5,0.264
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,61.0,0.233
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,61.5,0.1995
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,62.0,0.172
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,62.5,0.1415
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,63.0,0.121
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,63.5,0.0995
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,64.0,0.084
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,64.5,0.0685
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,65.0,0.058
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,65.5,0.048
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,66.0,0.0395
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,66.5,0.031
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,67.0,0.022
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,67.5,0.015
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,68.0,0.0105
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,68.5,0.007
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,69.0,0.005
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,69.5,0.0045
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,56.8,70.0,0.0025
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,30.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,30.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,31.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,31.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,32.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,32.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,33.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,33.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,34.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,34.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,35.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,35.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,36.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,36.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,37.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,37.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,38.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,38.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,39.0,0.999
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,39.5,0.999
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,40.0,0.999
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,40.5,0.9985
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,41.0,0.998
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,41.5,0.996
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,42.0,0.9935
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,42.5,0.9915
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,43.0,0.988
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,43.5,0.983
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,44.0,0.977
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,44.5,0.9705
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,45.0,0.958
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,45.5,0.948
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,46.0,0.935
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,46.5,0.915
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,47.0,0.8955
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,47.5,0.877
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,48.0,0.852
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,48.5,0.8235
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,49.0,0.796
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,49.5,0.7665
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,50.0,0.7405
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,50.5,0.707
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,51.0,0.6805
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,51.5,0.65
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,52.0,0.6245
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,52.5,0.5955
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,53.0,0.5615
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,53.5,0.5265
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,54.0,0.486
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,54.5,0.4445
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,55.0,0.407
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,55.5,0.371
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,56.0,0.337
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,56.5,0.3095
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,57.0,0.282
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,57.5,0.251
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,58.0,0.2255
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,58.5,0.1945
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,59.0,0.171
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,59.5,0.146
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,60.0,0.123
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,60.5,0.1045
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,61.0,0.0865
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,61.5,0.0725
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,62.0,0.0605
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,62.5,0.0475
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,63.0,0.0365
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,63.5,0.028
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,64.0,0.0205
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,64.5,0.0125
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,65.0,0.0085
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,65.5,0.005
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,66.0,0.004
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,66.5,0.002
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,67.0,0.002
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,67.5,0.002
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,68.0,0.0015
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,68.5,0.0015
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,69.0,0.0005
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,69.5,0.0005
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,54.0,70.0,0.0005
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,30.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,30.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,31.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,31.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,32.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,32.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,33.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,33.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,34.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,34.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,35.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,35.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,36.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,36.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,37.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,37.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,38.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,38.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,39.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,39.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,40.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,40.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,41.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,41.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,42.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,42.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,43.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,43.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,44.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,44.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,45.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,45.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,46.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,46.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,47.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,47.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,48.0,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,48.5,1.0
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,49.0,0.9995
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,49.5,0.9985
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,50.0,0.9975
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,50.5,0.9965
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,51.0,0.994
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,51.5,0.9925
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,52.0,0.9905
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,52.5,0.9855
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,53.0,0.98
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,53.5,0.9695
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,54.0,0.9635
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,54.5,0.9545
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,55.0,0.9385
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,55.5,0.923
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,56.0,0.9015
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,56.5,0.8865
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,57.0,0.857
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,57.5,0.836
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,58.0,0.8065
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,58.5,0.785
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,59.0,0.7565
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,59.5,0.7215
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,60.0,0.686
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,60.5,0.659
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,61.0,0.634
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,61.5,0.609
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,62.0,0.5705
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,62.5,0.5385
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,63.0,0.5085
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,63.5,0.476
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,64.0,0.4375
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,64.5,0.4045
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,65.0,0.3675
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,65.5,0.3295
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,66.0,0.2955
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,66.5,0.2645
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,67.0,0.226
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,67.5,0.1995
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,68.0,0.177
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,68.5,0.1565
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,69.0,0.132
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,69.5,0.1075
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,62.7,70.0,0.087
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,30.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,30.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,31.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,31.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,32.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,32.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,33.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,33.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,34.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,34.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,35.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,35.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,36.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,36.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,37.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,37.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,38.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,38.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,39.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,39.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,40.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,40.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,41.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,41.5,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,42.0,1.0
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,42.5,0.9985
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,43.0,0.9975
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,43.5,0.996
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,44.0,0.995
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,44.5,0.9935
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,45.0,0.9915
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,45.5,0.9875
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,46.0,0.9855
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,46.5,0.9835
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,47.0,0.9745
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,47.5,0.9665
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,48.0,0.96
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,48.5,0.951
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,49.0,0.9345
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,49.5,0.9235
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,50.0,0.9045
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,50.5,0.8795
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,51.0,0.857
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,51.5,0.8355
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,52.0,0.808
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,52.5,0.7805
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,53.0,0.7505
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,53.5,0.7185
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,54.0,0.695
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,54.5,0.662
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,55.0,0.634
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,55.5,0.6015
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,56.0,0.5705
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,56.5,0.539
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,57.0,0.5005
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,57.5,0.4635
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,58.0,0.4325
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,58.5,0.3945
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,59.0,0.3605
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,59.5,0.328
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,60.0,0.3
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,60.5,0.268
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,61.0,0.237
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,61.5,0.2115
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,56.8,62.0,0.1765
